"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"C14orf180",0.00104475833746953,7.96971060431562,0.0297730598103975,0.976320974070693,0.989853246164246,-6.35063915709111,"No"
"UQCC2",-0.00133209242039634,9.41537253979613,-0.029410665203635,0.976609108095575,0.990094734811977,-6.35064968880886,"No"
"DCTPP1",-0.00128731879845922,9.22812743904976,-0.0291920690806529,0.976782911803426,0.990193493867664,-6.35065597917056,"No"
"DSTN",0.00144179158315438,9.87830489607632,0.0291624955868922,0.976806425494737,0.990193493867664,-6.35065682657902,"No"
"CLCA1",-0.00150626638412987,4.55652348828593,-0.0289407884011473,0.976982704079284,0.990321545457335,-6.35066315209289,"No"
"HDHD2",-0.00129728043033239,10.2321573510801,-0.0286852980896228,0.977185844924821,0.990452202232384,-6.35067038160521,"No"
"NCOR1P1",-0.001569940726589,7.64406909508716,-0.0286529933311803,0.977211530608938,0.990452202232384,-6.35067129115553,"No"
"HBZ",-0.00128862510794292,7.51108533032897,-0.028537210518119,0.977303590332849,0.99046841132083,-6.35067454263675,"No"
"NFE2L1",0.00111190698115848,10.5778237713641,0.028470799376218,0.977356394434984,0.99046841132083,-6.35067640169229,"No"
"ACOT2",0.00105690113744927,8.06474977692116,0.0284443559668777,0.977377419858081,0.99046841132083,-6.35067714072035,"No"
"H3C15",0.00116823664482624,8.85203280673608,0.0283219134969577,0.977474775316827,0.99051643344778,-6.35068055373389,"No"
"ZDHHC18",0.000885291727257709,9.14943459234912,0.0282008411466866,0.977571041713253,0.990563347128856,-6.35068391407918,"No"
"PRPF4",-0.00112234476901207,8.68479567770177,-0.0279864595724978,0.977741500453575,0.990658376510379,-6.35068982889586,"No"
"HSH2D",0.000986836029045257,6.535709501978,0.0279384391607558,0.977779682510087,0.990658376510379,-6.35069114759824,"No"
"KLHL40",-0.000998384484137915,7.02358277022565,-0.0278575598508226,0.977843991496561,0.990658376510379,-6.35069336352917,"No"
"PURB",-0.00104879758638354,9.79227036465706,-0.027807577014741,0.97788373406441,0.990658376510379,-6.35069472974692,"No"
"AFAP1-AS1",0.00116997593594714,6.89590729324544,0.0277686314368533,0.977914700678762,0.990658376510379,-6.35069579257452,"No"
"MARCHF10",0.000929301155053963,6.24848932302169,0.0274446308324652,0.97817232306662,0.990861535271111,-6.35070457683171,"No"
"IRAK1BP1",0.00158823271412878,7.47281864859495,0.0273906853449344,0.978215216932636,0.990861535271111,-6.35070602938257,"No"
"DMAP1",0.000894548500570025,8.88556418675752,0.0272722662366779,0.978309376161221,0.990906277841903,-6.3507092079451,"No"
"PPRC1",0.000964060910479958,8.06165569693613,0.0270559463629424,0.978481380550895,0.991029859322521,-6.35071497876851,"No"
"STYX",-0.00128867633775265,8.6741950102661,-0.0269891563619582,0.978534488098428,0.9910330126999,-6.35071675125848,"No"
"MMP12",0.00112914414686127,4.52449555158248,0.0268598282780582,0.978637322589342,0.99103955680556,-6.35072017094566,"No"
"TXLNG",-0.000897415248781286,8.83410289432172,-0.026855280759554,0.978640938529428,0.99103955680556,-6.35072029089201,"No"
"THAP2",0.00174132662408244,6.14353038372496,0.0260673486307386,0.979267466108939,0.991452519006938,-6.35074076695122,"No"
"INO80",-0.000684155127833819,8.62902180297153,-0.0260135809810764,0.97931022016323,0.991452519006938,-6.35074214199351,"No"
"OLA1",0.00149982500543722,10.1342238030966,0.0259731424048379,0.979342375469249,0.991452519006938,-6.35074317429032,"No"
"DCLRE1C",-0.000956334791704982,6.89465911638733,-0.0259558015246612,0.979356164325937,0.991452519006938,-6.35074361646813,"No"
"TEPSIN",0.000902318841992766,7.4682841150135,0.0259548563945195,0.979356915860292,0.991452519006938,-6.35074364055965,"No"
"S100A3",-0.00202090383291686,6.05554307235889,-0.0258497028590671,0.979440530381721,0.991452519006938,-6.35074631546352,"No"
"CLCA2",-0.0012129656917379,5.01534023123201,-0.0258208936438369,0.979463438531791,0.991452519006938,-6.35074704641952,"No"
